Starting training from step 0 | target 150000 steps
step     72 | loss 119.3668 | lr 1.06e-05 | tokens    4,718,592 | tok/s 45,909
step     73 | loss 116.2457 | lr 1.08e-05 | tokens    4,784,128 | tok/s 46,323
step     74 | loss 112.9654 | lr 1.09e-05 | tokens    4,849,664 | tok/s 45,965
step     75 | loss 110.0676 | lr 1.11e-05 | tokens    4,915,200 | tok/s 46,102
Starting training from step 0 | target 150000 steps
step     76 | loss 107.4334 | lr 1.12e-05 | tokens    4,980,736 | tok/s 46,189
step     77 | loss 104.8892 | lr 1.14e-05 | tokens    5,046,272 | tok/s 45,983
step     78 | loss 102.2252 | lr 1.15e-05 | tokens    5,111,808 | tok/s 19,713
step      1 | loss 483.1240 | lr 0.00e+00 | tokens       65,536 | tok/s 10,601
step     79 | loss 99.9159 | lr 1.17e-05 | tokens    5,177,344 | tok/s 15,667
step      2 | loss 483.1543 | lr 1.50e-07 | tokens      131,072 | tok/s 15,971
step     80 | loss 98.1568 | lr 1.18e-05 | tokens    5,242,880 | tok/s 15,260
step      3 | loss 483.2173 | lr 3.00e-07 | tokens      196,608 | tok/s 15,974
step     81 | loss 97.0448 | lr 1.20e-05 | tokens    5,308,416 | tok/s 15,278
step      4 | loss 482.4802 | lr 4.50e-07 | tokens      262,144 | tok/s 15,983
step     82 | loss 94.9632 | lr 1.21e-05 | tokens    5,373,952 | tok/s 15,185
step      5 | loss 482.6896 | lr 6.00e-07 | tokens      327,680 | tok/s 15,935
step     83 | loss 92.7530 | lr 1.23e-05 | tokens    5,439,488 | tok/s 15,183
step      6 | loss 482.0813 | lr 7.50e-07 | tokens      393,216 | tok/s 15,953
step     84 | loss 90.8356 | lr 1.24e-05 | tokens    5,505,024 | tok/s 15,166
step      7 | loss 482.1450 | lr 9.00e-07 | tokens      458,752 | tok/s 15,945
step     85 | loss 89.3077 | lr 1.26e-05 | tokens    5,570,560 | tok/s 15,178
step      8 | loss 481.2827 | lr 1.05e-06 | tokens      524,288 | tok/s 15,926
step      9 | loss 480.5648 | lr 1.20e-06 | tokens      589,824 | tok/s 15,965
step     86 | loss 87.1812 | lr 1.27e-05 | tokens    5,636,096 | tok/s 15,221
step     10 | loss 479.9790 | lr 1.35e-06 | tokens      655,360 | tok/s 15,914
step     87 | loss 85.8916 | lr 1.29e-05 | tokens    5,701,632 | tok/s 15,142
step     11 | loss 479.4731 | lr 1.50e-06 | tokens      720,896 | tok/s 15,924
step     88 | loss 85.2723 | lr 1.30e-05 | tokens    5,767,168 | tok/s 15,184
step     12 | loss 478.5976 | lr 1.65e-06 | tokens      786,432 | tok/s 15,910
step     89 | loss 83.4699 | lr 1.32e-05 | tokens    5,832,704 | tok/s 15,151
step     13 | loss 477.8729 | lr 1.80e-06 | tokens      851,968 | tok/s 15,926
step     90 | loss 82.3363 | lr 1.33e-05 | tokens    5,898,240 | tok/s 15,184
step     14 | loss 475.5998 | lr 1.95e-06 | tokens      917,504 | tok/s 15,939
step     91 | loss 81.1323 | lr 1.35e-05 | tokens    5,963,776 | tok/s 15,141
step     15 | loss 474.2061 | lr 2.10e-06 | tokens      983,040 | tok/s 15,942
step     92 | loss 79.8392 | lr 1.36e-05 | tokens    6,029,312 | tok/s 15,202
step     16 | loss 473.7354 | lr 2.25e-06 | tokens    1,048,576 | tok/s 16,007
step     93 | loss 79.5017 | lr 1.38e-05 | tokens    6,094,848 | tok/s 15,176
step     17 | loss 471.6053 | lr 2.40e-06 | tokens    1,114,112 | tok/s 15,925
step     94 | loss 78.4214 | lr 1.39e-05 | tokens    6,160,384 | tok/s 15,115
step     18 | loss 469.7318 | lr 2.55e-06 | tokens    1,179,648 | tok/s 15,856
step     95 | loss 77.0280 | lr 1.41e-05 | tokens    6,225,920 | tok/s 15,132
step     19 | loss 467.6782 | lr 2.70e-06 | tokens    1,245,184 | tok/s 15,884
step     96 | loss 76.3261 | lr 1.42e-05 | tokens    6,291,456 | tok/s 15,130
step     20 | loss 465.7391 | lr 2.85e-06 | tokens    1,310,720 | tok/s 15,830
step     97 | loss 75.0961 | lr 1.44e-05 | tokens    6,356,992 | tok/s 15,124
step     21 | loss 463.2081 | lr 3.00e-06 | tokens    1,376,256 | tok/s 15,859
step     98 | loss 73.5192 | lr 1.45e-05 | tokens    6,422,528 | tok/s 15,239
step     22 | loss 460.5586 | lr 3.15e-06 | tokens    1,441,792 | tok/s 16,219
step     99 | loss 73.1310 | lr 1.47e-05 | tokens    6,488,064 | tok/s 15,483
step     23 | loss 457.9788 | lr 3.30e-06 | tokens    1,507,328 | tok/s 16,182
step    100 | loss 72.5698 | lr 1.49e-05 | tokens    6,553,600 | tok/s 15,430
step     24 | loss 453.7937 | lr 3.45e-06 | tokens    1,572,864 | tok/s 15,966
step    101 | loss 71.4204 | lr 1.50e-05 | tokens    6,619,136 | tok/s 15,111
step     25 | loss 451.3943 | lr 3.60e-06 | tokens    1,638,400 | tok/s 15,988
step    102 | loss 70.9185 | lr 1.51e-05 | tokens    6,684,672 | tok/s 15,182
step     26 | loss 447.1529 | lr 3.75e-06 | tokens    1,703,936 | tok/s 16,015
step    103 | loss 69.9721 | lr 1.53e-05 | tokens    6,750,208 | tok/s 15,141
step     27 | loss 443.0647 | lr 3.90e-06 | tokens    1,769,472 | tok/s 15,880
step    104 | loss 69.1850 | lr 1.54e-05 | tokens    6,815,744 | tok/s 15,201
step     28 | loss 438.9504 | lr 4.05e-06 | tokens    1,835,008 | tok/s 16,005
step    105 | loss 68.5412 | lr 1.56e-05 | tokens    6,881,280 | tok/s 15,190
step     29 | loss 434.5600 | lr 4.20e-06 | tokens    1,900,544 | tok/s 15,936
step     30 | loss 428.6444 | lr 4.35e-06 | tokens    1,966,080 | tok/s 15,810
step    106 | loss 67.9110 | lr 1.57e-05 | tokens    6,946,816 | tok/s 15,140
step     31 | loss 423.3678 | lr 4.50e-06 | tokens    2,031,616 | tok/s 15,907
step    107 | loss 67.5592 | lr 1.59e-05 | tokens    7,012,352 | tok/s 15,170
step     32 | loss 416.1118 | lr 4.65e-06 | tokens    2,097,152 | tok/s 15,982
step    108 | loss 66.7536 | lr 1.60e-05 | tokens    7,077,888 | tok/s 15,149
step     33 | loss 411.1016 | lr 4.80e-06 | tokens    2,162,688 | tok/s 15,797
step    109 | loss 65.1991 | lr 1.62e-05 | tokens    7,143,424 | tok/s 15,088
step     34 | loss 404.5817 | lr 4.95e-06 | tokens    2,228,224 | tok/s 15,839
step    110 | loss 66.0147 | lr 1.63e-05 | tokens    7,208,960 | tok/s 15,073
step     35 | loss 395.8052 | lr 5.10e-06 | tokens    2,293,760 | tok/s 15,807
step    111 | loss 63.5898 | lr 1.65e-05 | tokens    7,274,496 | tok/s 15,136
step     36 | loss 389.8264 | lr 5.25e-06 | tokens    2,359,296 | tok/s 15,842
step    112 | loss 64.3759 | lr 1.66e-05 | tokens    7,340,032 | tok/s 15,084
step     37 | loss 380.0532 | lr 5.40e-06 | tokens    2,424,832 | tok/s 15,827
step    113 | loss 62.6600 | lr 1.68e-05 | tokens    7,405,568 | tok/s 15,088
step     38 | loss 373.4877 | lr 5.55e-06 | tokens    2,490,368 | tok/s 15,823
step    114 | loss 62.6301 | lr 1.69e-05 | tokens    7,471,104 | tok/s 15,027
step     39 | loss 363.7021 | lr 5.70e-06 | tokens    2,555,904 | tok/s 15,845
step    115 | loss 62.4253 | lr 1.71e-05 | tokens    7,536,640 | tok/s 15,149
step     40 | loss 356.1500 | lr 5.85e-06 | tokens    2,621,440 | tok/s 15,739
